丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
198,北京鲁御园宾馆,44784,(京丰)应急现记〔2022〕执01186号,否,不合格（复查以后合格）,区应急管理局
199,北京超强力油脂销售中心,44784,(京丰)应急现记〔2022〕执01139号,否,不合格（复查以后合格）,区应急管理局
200,北京市丹江渔村酒店有限公司花乡分公司,44784,(京丰)应急现记〔2022〕执01632号,否,不合格（复查以后合格）,区应急管理局
201,北京市宛丰加油站,44784,(京丰)应急现记〔2022〕执01138号,否,合格,区应急管理局
202,北京公联京华石油有限责任公司柳村北加油站,44784,(京丰)应急现记〔2022〕执01132号,否,合格,区应急管理局
203,北京市天润中电高压电子有限公司,44784,(京丰)应急现记〔2022〕执01134号,否,不合格（复查以后合格）,区应急管理局
204,北京丰台岳各庄机动车检测场,44784,(京丰)应急现记〔2022〕执01135号,否,合格,区应急管理局
205,北京建宏发加油站有限公司,44784,(京丰)应急现记〔2022〕执01141号,否,不合格（复查以后合格）,区应急管理局
206,北京美添前景科技有限公司丰台分公司,44784,(京丰)应急现记〔2022〕执01137号,否,不合格（复查以后合格）,区应急管理局
207, 北京鑫记餐饮有限责任公司,44785,(京丰)应急现记〔2022〕执01144号,否,合格,区应急管理局
208,北京航天雷特机电工程有限公司气体分公司,44785,(京丰)应急现记〔2022〕执01147号,否,合格,区应急管理局
209,北京御鲜坊餐饮服务有限公司,44785,(京丰)应急现记〔2022〕执01145号,否,合格,区应急管理局
210,北京时代百和餐饮管理有限公司,44785,(京丰)应急现记〔2022〕执01146号,否,合格,区应急管理局
211,北京万丰志欣大连海鲜农家菜餐饮有限公司,44785,(京丰)应急现记〔2022〕执01143号,否,合格,区应急管理局
212,上德伟业（北京）汽车服务有限公司,44787,(京丰)应急现记〔2022〕执01148号,否,合格,区应急管理局
213,北京市丰台晓龙加油站有限公司,44788,(京丰)应急现记〔2022〕执01149号,否,不合格（复查以后合格）,区应急管理局
214,北京市金元腾商贸有限公司第二经销部,44788,(京丰)应急现记〔2022〕执01159号,否,合格,区应急管理局
