主键ID,企业名称,检查实施单位,检查时间,检查事项,检查结果,时间戳,统一社会信用代码
ecf38168fd4e4bbc941831da4b820b27,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,食品添加剂标签载明“食品添加剂”字样，并标明贮存条件、生产者名称和地址、食品添加剂的使用范围、用量和使用方法。,1,5/9/2024 14:04:18,91110113757731032D
ebec5811af174594b70664d3e17a22b9,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,按规定时限保存检验留存样品并记录留样情况。,1,5/9/2024 14:04:18,91110113757731032D
ebc693aa7274401c89518a9a90229001,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,定期检查防鼠、防蝇、防虫害装置的使用情况并有相应检查记录，生产场所无虫害迹象。,1,5/9/2024 14:04:17,91110113757731032D
e84ee653f82e44009cbbca44a705d2d3,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,生产特殊食品使用的原料、食品添加剂与注册或备案的技术要求一致。,1,5/9/2024 14:04:17,91110113757731032D
e5812704d26c4326a474944cc7e6dadc,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,建立和保存生产加工过程关键控制点的控制情况记录。,1,5/9/2024 14:04:18,91110113757731032D
debd51766d48420ea71cdd0194c5eb88,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,有与生产产品相应的食品安全标准文本，按照食品安全标准规定进行检验。,1,5/9/2024 14:04:18,91110113757731032D
d4270a718cb54ebab5b64ca1d8df27d2,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,签订委托生产合同，约定委托生产的食品品种、委托期限等内容。,1,5/9/2024 14:04:18,91110113757731032D
d32553e47dc245d2bbd03c6de08f78f3,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,建立和保存不合格品的处置记录，不合格品的批次、数量应与记录一致。,1,5/9/2024 14:04:18,91110113757731032D
d30975762f93486bb16884f7c58d7a65,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,对出厂的婴幼儿配方食品、特殊医学用途婴儿配方食品等按照要求批批全项目自行检验，每年对全项目检验能力进行验证。,1,5/9/2024 14:04:18,91110113757731032D
d0786284b29947e2903ce93ccba634de,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,对出厂的婴幼儿配方食品、特殊医学用途婴儿配方食品等按照要求批批全项目自行检验，每年对全项目检验能力进行验证。,1,5/9/2024 14:05:01,91110113757731032D
ce9b8ffdb2544457b23d00a3e39e4616,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,监控设备（如压力表、温度计）定期检定或校准、维护，并有相关记录。,1,5/9/2024 14:04:17,91110113757731032D
ce9009a1f0134015a003394f7575d2df,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,生产或使用的新食品原料，限定于国务院卫生行政部门公吿的新食品原料范围内。,1,5/9/2024 14:04:18,91110113757731032D
c85b32c38a574510bcf7355d810f9778,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,有定期排查食品安全风险隐患的记录。,1,5/9/2024 14:04:18,91110113757731032D
c5da9151cf474e0bae1ed534d6c1e0f8,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,未发现食品、食品添加剂的标签、说明书涉及疾病预防、治疗功能，未发现保健食品之外的食品标签、说明书涉及保健功能。,1,5/9/2024 14:04:18,91110113757731032D
c43f0ab767bc4751aeb14722bcc26351,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,未发现超范围、超限量使用食品添加剂的情况。,1,5/9/2024 14:04:18,91110113757731032D
c23959a8b86d4e618124b53afd0d30e0,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,企业负责人在企业内部制度制定、过程控制、安全培训、安全检查以及食品安全事件或事故调查等环节履行了岗位职责并有记录。,1,5/9/2024 14:04:18,91110113757731032D
c13b1829aad94f3eb416c8245344932c,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,卫生间保持清洁，未与食品生产、包装或贮存等区域直接连通。,1,5/9/2024 14:05:01,91110113757731032D
c0837fbfdb784752aa7ed9028fca8438,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,食品原料、食品相关产品的贮存有专人管理，贮存条件符合要求。,1,5/9/2024 14:04:18,91110113757731032D
be4aeab0746746adb19f1b4df4bbc076,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,按照经特殊食品注册或备案的产品配方、生产工艺等技术要求组织生产。,1,5/9/2024 14:04:18,91110113757731032D
bd4b50fc3b494fae8fbf2f33312d9429,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,企业自检的，具备与所检项目适应的检验室和检验能力，有检验相关设备及化学试剂，检验仪器按期检定或校准。,1,5/9/2024 14:04:18,91110113757731032D
bd141d9af87f41e39a60a68c04a8bd37,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,厂区无扬尘、无积水，厂区、车间卫生整洁。,1,5/9/2024 14:04:17,91110113757731032D
bb5a23613f684a54be58bcf8a10cc0e7,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,对前次监督检查发现的问题完成整改。,1,5/9/2024 14:04:18,91110113757731032D
ba494987559c4db9bfee400b57a3b297,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,原料、食品添加剂实际使用量与注册或备案的配方和批生产记录中的使用量一致。,1,5/9/2024 14:04:18,91110113757731032D
b608f241506c409fbbc5b22945516cab,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,保健食品原料提取物或原料前处理符合要求。,1,5/9/2024 14:04:18,91110113757731032D
b2d51139c40e4b9b95a432e13dfeba11,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,有召回计划、公告等相应记录；召回食品有处置记录。,1,5/9/2024 14:04:18,91110113757731032D
b16ff40d909d4b9e9c5403723b1fa1bc,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/7/2024 00:00:00,未发现待加工食品与直接入口食品、原料与成品交叉污染。,1,5/9/2024 14:04:18,91110113757731032D
b0952c86fc0f4da38f202de654186bea,北京香味斋食品有限公司,北京市顺义区市场监督管理局,5/9/2024 00:00:00,生产或使用的新食品原料，限定于国务院卫生行政部门公吿的新食品原料范围内。,1,5/9/2024 14:05:01,91110113757731032D
