序号,企业名称,申请事项,业务流水号,,,,,,,,,,,,,,,,,
217,中交一公局第五工程有限公司,建筑业企业增项资质申请,0014190110000041,,,,,,,,,,,,,,,,,
218,北京同创盛邦建筑工程有限公司,(区)建筑业企业首次申请资质,0014190510003059,,,,,,,,,,,,,,,,,
219,北京尚扬国际建筑装饰有限公司,建筑业企业首次申请资质,0014180725002965,,,,,,,,,,,,,,,,,
220,中锐国元(北京)电力建设有限公司,建筑业企业首次申请资质,0014190124004039,,,,,,,,,,,,,,,,,
221,北京顺远梦建筑工程有限公司,(区)建筑业企业首次申请资质,0014190524005180,,,,,,,,,,,,,,,,,
222,北京园磊工程管理有限公司,工程监理单位延续资质申请,0014180705000332,,,,,,,,,,,,,,,,,
223,北京聚缘互利建筑劳务有限公司,建筑业企业首次申请资质,0014190527003349,,,,,,,,,,,,,,,,,
224,北京睿智博成装饰工程有限公司,(区)建筑业企业首次申请资质,0014190221003485,,,,,,,,,,,,,,,,,
225,北京中丰万诚建筑工程有限公司,(市)建筑业企业首次申请资质,0014180623000218,,,,,,,,,,,,,,,,,
226,北京弘润源建筑工程有限公司,(区)建筑业企业首次申请资质,0014190827002251,,,,,,,,,,,,,,,,,
227,北京双诚建设监理公司,工程监理企业延续资质申请,0014190325001163,,,,,,,,,,,,,,,,,
228,北京腾源达建筑工程有限公司,建筑业企业首次申请资质,0014190103000223,,,,,,,,,,,,,,,,,
229,北京丰业正美建筑工程有限公司,建筑业企业首次申请资质,0014180710001632,,,,,,,,,,,,,,,,,
230,北京易用时代科技有限公司,建筑业企业首次申请资质,0014181123002711,,,,,,,,,,,,,,,,,
231,北京复曾环保科技有限责任公司,(市)建筑业企业首次申请资质,0014181108000026,,,,,,,,,,,,,,,,,
232,北京盛达宏业建筑工程有限公司,建筑业企业首次申请资质,0014190418004192,,,,,,,,,,,,,,,,,
233,北京东熙国际装饰设计有限公司,建筑业企业首次申请资质,0014190710001600,,,,,,,,,,,,,,,,,
234,中创动力(北京)建设工程有限公司,建筑业企业首次申请资质,0014190701006054,,,,,,,,,,,,,,,,,
235,北京鸿屹丰彩装饰工程有限公司,(区)建筑业企业增项资质申请,0014181109001208,,,,,,,,,,,,,,,,,
236,北京中润弘承装饰工程有限公司,(区)建筑业企业首次申请资质,0014190815002124,,,,,,,,,,,,,,,,,
