标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京源生号酿酒有限公司,北京源生号酿酒有限公司,其他酒,完全合格,110111-2023-1-003369,29/12/2023 22:00:03
福兰春生物技术开发（北京）有限公司,福兰春生物技术开发（北京）有限公司,调味料,完全合格,110111-2023-1-003406,29/12/2023 22:00:05
北京全聚德仿膳食品有限责任公司生产基地,北京全聚德仿膳食品有限责任公司生产基地,"调味料,其他粮食加工品,其他食品,热加工糕点,热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110112-2022-1-000151,26/10/2023 10:00:00
北京特味浓生物技术开发有限公司,北京特味浓生物技术开发有限公司,调味料,完全合格,110112-2022-1-000201,26/10/2023 10:00:00
北京二商希杰食品有限责任公司,北京二商希杰食品有限责任公司,"淀粉及淀粉制品,豆制品,其他粮食加工品,其他食品",完全合格,110112-2022-1-000478,26/10/2023 10:00:00
北京全聚德三元金星食品有限责任公司,北京全聚德三元金星食品有限责任公司,"热加工熟肉制品,速冻调制食品",完全合格,110112-2022-1-000586,26/10/2023 10:00:00
北京美味阳光餐饮管理有限公司,北京美味阳光餐饮管理有限公司,"其他粮食加工品,热加工糕点,速冻调制食品,速冻面米食品",完全合格,110112-2022-1-000729,26/10/2023 10:00:00
北京继远斋食品有限公司,北京继远斋食品有限公司,"冷加工糕点,蜜饯,糖果",完全合格,110101-2023-1-001647,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2023-1-000022,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2023-1-000053,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2023-1-000562,26/10/2023 10:00:00
北京义利食品有限公司,北京义利食品有限公司,"饼干,代可可脂巧克力及代可可脂巧克力制品,蛋制品,其他罐头,巧克力及巧克力制品,热加工熟肉制品,熟制水产品,糖果,畜禽水产罐头",完全合格,110102-2023-1-001382,26/10/2023 10:00:00
北京糖业烟酒集团有限公司食糖经营分公司,北京糖业烟酒集团有限公司食糖经营分公司,"固体饮料,糖",完全合格,110105-2022-1-000779,26/10/2023 10:00:00
眉州东坡供应链管理（北京）有限公司,眉州东坡供应链管理（北京）有限公司,"调味料,热加工熟肉制品,速冻面米食品",完全合格,110105-2023-1-000675,26/10/2023 10:00:00
北京庆福斋食品有限公司,北京庆福斋食品有限公司,"冷加工糕点,热加工糕点",完全合格,110105-2023-1-001890,26/10/2023 22:00:28
眉州东坡供应链管理（北京）有限公司,眉州东坡供应链管理（北京）有限公司,"调味料,热加工熟肉制品,速冻面米食品",本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.3）。,110105-2023-1-002877,29/11/2023 22:01:54
北京航博天时饮品制造有限公司,北京航博天时饮品制造有限公司,包装饮用水,完全合格,110106-2022-1-001163,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2022-1-001167,26/10/2023 10:00:00
北京金美添技术发展有限公司,北京金美添技术发展有限公司,发酵肉制品,完全合格,110106-2022-1-001172,26/10/2023 10:00:00
北京胜鑫水厂有限公司,北京胜鑫水厂有限公司,瓶(桶)装饮用水,完全合格,110106-2022-1-001181,26/10/2023 10:00:00
北京龙徽酿酒有限公司,北京龙徽酿酒有限公司,"葡萄酒及果酒,其他酒",完全合格,110108-2022-1-000313,26/10/2023 10:00:00
北京市福长豆制品有限公司,北京市福长豆制品有限公司,淀粉及淀粉制品,完全合格,110108-2023-1-002820,27/11/2023 22:02:23
北京市福长豆制品有限公司,北京市福长豆制品有限公司,淀粉及淀粉制品,完全合格,110108-2023-1-002830,27/11/2023 22:02:38
北京正隆斋全素食品有限公司,北京正隆斋全素食品有限公司,"冷加工糕点,热加工糕点",完全合格,110108-2023-1-002834,27/11/2023 22:02:43
北京阳光雨露饮品有限责任公司,北京阳光雨露饮品有限责任公司,包装饮用水,完全合格,110108-2023-1-002836,27/11/2023 22:02:46
郑顺斋（北京）食品有限公司第一分公司,郑顺斋（北京）食品有限公司第一分公司,热加工熟肉制品,完全合格,110109-2022-1-000215,26/10/2023 10:00:00
北京柿利康食品有限公司,北京柿利康食品有限公司,冷冻饮品,完全合格,110109-2022-1-000301,26/10/2023 10:00:00
北京瑞庚食品有限公司,北京瑞庚食品有限公司,"炒货食品及坚果制品,代用茶,蜜饯,食用菌制品,水果制品",完全合格,110111-2022-1-000051,26/10/2023 10:00:00
北京澄明饮品厂,北京澄明饮品厂,瓶(桶)装饮用水,完全合格,110111-2022-1-000057,26/10/2023 10:00:00
北京金阳光豆制品有限公司,北京金阳光豆制品有限公司,豆制品,本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.1）。,110111-2022-1-000060,26/10/2023 10:00:00
北京喔家福食品科技有限公司,北京喔家福食品科技有限公司,"调味料,其他粮食加工品,热加工糕点,热加工熟肉制品,速冻调制食品,速冻面米食品",完全合格,110111-2022-1-000121,26/10/2023 10:00:00
北京香麦源食品科技有限公司,北京香麦源食品科技有限公司,"饼干,冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2022-1-000142,26/10/2023 10:00:00
北京腾飞工贸有限公司,北京腾飞工贸有限公司,热加工熟肉制品,完全合格,110111-2022-1-000250,26/10/2023 10:00:00
北京佳欣源食品有限公司,北京佳欣源食品有限公司,"冷加工糕点,热加工糕点",完全合格,110111-2022-1-000274,26/10/2023 10:00:00
北京市福兴斋糕点有限责任公司,北京市福兴斋糕点有限责任公司,"冷加工糕点,热加工糕点",完全合格,110111-2022-1-000299,26/10/2023 10:00:00
北京盛聚玄德商贸有限公司,北京盛聚玄德商贸有限公司,"冷加工糕点,其他食品,热加工糕点,热加工熟肉制品",完全合格,110111-2022-1-000351,26/10/2023 10:00:00
北京市林地山野菜加工厂,北京市林地山野菜加工厂,酱腌菜,完全合格,110111-2022-1-000366,26/10/2023 10:00:00
北京瑞阳恒业商贸有限公司,北京瑞阳恒业商贸有限公司,"热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110111-2022-1-000367,26/10/2023 10:00:00
北京凯伦葡萄酒有限公司,北京凯伦葡萄酒有限公司,葡萄酒及果酒,完全合格,110111-2022-1-000675,26/10/2023 10:00:00
北京德润通农业科技发展有限公司,北京德润通农业科技发展有限公司,"淀粉及淀粉制品,其他方便食品",完全合格,110111-2022-1-000800,26/10/2023 10:00:00
北京汇丰源粮食加工厂,北京汇丰源粮食加工厂,"大米,其他粮食加工品",完全合格,110111-2022-1-000883,26/10/2023 10:00:00
北京琦彩鸿农业发展有限公司,北京琦彩鸿农业发展有限公司,速冻其他食品,完全合格,110111-2022-1-000893,26/10/2023 10:00:00
北京北方霞光食品添加剂有限公司房山分厂,北京北方霞光食品添加剂有限公司房山分厂,"复配食品添加剂,食品用香精",完全合格,110111-2022-1-000903,26/10/2023 10:00:00
北京卓宸畜牧有限公司,北京卓宸畜牧有限公司,预制调理肉制品,完全合格,110111-2022-1-000984,26/10/2023 10:00:00
北京金杏湾生态农业科技有限公司,北京金杏湾生态农业科技有限公司,葡萄酒及果酒,完全合格,110111-2022-1-000994,26/10/2023 10:00:00
北京宏味源食品有限公司,北京宏味源食品有限公司,"蛋制品,调味料,热加工熟肉制品",完全合格,110111-2022-1-001031,26/10/2023 10:00:00
广东蓝带集团北京蓝宝酒业有限公司,广东蓝带集团北京蓝宝酒业有限公司,"茶(类)饮料,蛋白饮料,果蔬汁类及其饮料,啤酒,其他酒,其他饮料,碳酸饮料(汽水)",完全合格,110111-2022-1-001035,26/10/2023 10:00:00
北京宏味源食品有限公司,北京宏味源食品有限公司,"蛋制品,调味料,热加工熟肉制品",完全合格,110111-2022-1-001051,26/10/2023 10:00:00
北京喔家福食品科技有限公司,北京喔家福食品科技有限公司,"调味料,其他粮食加工品,热加工糕点,热加工熟肉制品,速冻调制食品,速冻面米食品",完全合格,110111-2022-1-001086,26/10/2023 10:00:00
北京香豆豆食品有限公司,北京香豆豆食品有限公司,豆制品,完全合格,110111-2022-1-001104,26/10/2023 10:00:00
北京顺风飞扬物流中心,北京顺风飞扬物流中心,"其他粮食加工品,热加工糕点,热加工熟肉制品",完全合格,110111-2022-1-001136,26/10/2023 10:00:00
北京屏山百花茶叶有限公司房山分公司,北京屏山百花茶叶有限公司房山分公司,代用茶,完全合格,110111-2022-1-001138,26/10/2023 10:00:00
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2022-1-000848,26/10/2023 10:00:00
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2023-1-000461,26/10/2023 10:00:00
易贝可（北京）食品有限公司,易贝可（北京）食品有限公司,"冷加工糕点,热加工糕点",完全合格,110105-2022-1-000567,26/10/2023 10:00:00
北京龙菲业食品有限公司,北京龙菲业食品有限公司,"调味料,酱类,酱油,食醋",完全合格,110105-2023-1-000683,26/10/2023 10:00:00
北京庆福斋食品有限公司,北京庆福斋食品有限公司,"冷加工糕点,热加工糕点",完全合格,110105-2023-1-001797,26/10/2023 22:00:11
北京庆福斋食品有限公司,北京庆福斋食品有限公司,"冷加工糕点,热加工糕点","本次检查发现不符合项（4）项，其中：重点项（0）项，项目序号分别是（）；一般项（4）项，项目序号分别是（10.1,2.10,2.5,6.1）。",110105-2023-1-002878,29/11/2023 22:01:57
北京六必居食品有限公司天源酱园食品厂,北京六必居食品有限公司天源酱园食品厂,酱腌菜,完全合格,110106-2022-1-000231,26/10/2023 10:00:00
北京月盛斋清真食品有限公司,北京月盛斋清真食品有限公司,"速冻调制食品,预制调理肉制品",完全合格,110106-2022-1-000232,26/10/2023 10:00:00
北京金美添技术发展有限公司,北京金美添技术发展有限公司,发酵肉制品,完全合格,110106-2022-1-000472,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2022-1-000850,26/10/2023 10:00:00
北京六必居食品有限公司天源酱园食品厂,北京六必居食品有限公司天源酱园食品厂,酱腌菜,完全合格,110106-2023-1-000961,26/10/2023 10:00:00
北京市永清至信水业有限公司,北京市永清至信水业有限公司,瓶(桶)装饮用水,"本次检查发现不符合项（3）项，其中：重点项（1）项，项目序号分别是（*6.4）；一般项（2）项，项目序号分别是（2.10,6.5）。",110107-2022-1-000217,26/10/2023 10:00:00
北京亚尚奈雄投资管理有限责任公司,北京亚尚奈雄投资管理有限责任公司,瓶(桶)装饮用水,完全合格,110108-2023-1-002901,30/11/2023 22:00:05
北京荣福盛业食品有限责任公司,北京荣福盛业食品有限责任公司,热加工熟肉制品,完全合格,110109-2023-1-001714,26/10/2023 10:00:00
北京香家食品有限公司,北京香家食品有限公司,热加工熟肉制品,完全合格,110111-2022-1-000018,26/10/2023 10:00:00
北京澳特舒尔保健品开发有限公司,北京澳特舒尔保健品开发有限公司,"茶剂,茶剂,茶剂,茶剂,茶剂,代用茶,调味茶,颗粒剂,颗粒剂",完全合格,110111-2022-1-000036,26/10/2023 10:00:00
北京醇荣居清真食品有限公司,北京醇荣居清真食品有限公司,"冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2022-1-000048,26/10/2023 10:00:00
北京御生堂保健食品有限公司,北京御生堂保健食品有限公司,"茶剂,茶剂,代用茶,固体饮料,口服液,片剂,糖果",完全合格,110111-2022-1-000083,26/10/2023 10:00:00
北京航天农业生物科技有限公司,北京航天农业生物科技有限公司,"茶(类)饮料,炒货食品及坚果制品,调味料,固体饮料,果蔬汁类及其饮料,其他食品,其他饮料",完全合格,110111-2022-1-000091,26/10/2023 10:00:00
北京龙骨山酿酒有限公司,北京龙骨山酿酒有限公司,"白酒,其他酒",完全合格,110111-2022-1-000162,26/10/2023 10:00:00
北京燕脉水业有限公司,北京燕脉水业有限公司,瓶(桶)装饮用水,完全合格,110111-2022-1-000266,26/10/2023 10:00:00
北京宇辰食品有限公司,北京宇辰食品有限公司,"豆制品,冷加工糕点,蜜饯,其他方便食品,其他粮食加工品,热加工糕点",本次检查发现不符合项（2）项，其中：重点项（1）项，项目序号分别是（*9.1）；一般项（1）项，项目序号分别是（4.9）。,110111-2022-1-000281,26/10/2023 10:00:00
北京嘉雪溪水业有限公司,北京嘉雪溪水业有限公司,瓶(桶)装饮用水,完全合格,110111-2022-1-000290,26/10/2023 10:00:00
中安信（北京）食品有限公司,中安信（北京）食品有限公司,预制调理肉制品,完全合格,110111-2022-1-000489,26/10/2023 10:00:00
北京龙骨山酿酒有限公司,北京龙骨山酿酒有限公司,"白酒,其他酒",完全合格,110111-2022-1-000616,26/10/2023 10:00:00
北京市窦店永昌面业有限公司,北京市窦店永昌面业有限公司,小麦粉,完全合格,110111-2022-1-000677,26/10/2023 10:00:00
北京利民恒华农业科技有限公司,北京利民恒华农业科技有限公司,"淀粉及淀粉制品,调味料,豆制品",完全合格,110111-2022-1-000715,26/10/2023 10:00:00
