标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京同仁堂参茸中药制品有限公司,北京同仁堂参茸中药制品有限公司,"代用茶,调味料,即食水产品,其他方便食品,其他罐头,水产加工品,糖果,畜禽水产罐头",完全合格,110115-2022-1-000965,31/7/2025 13:56:29
北冰洋（北京）饮料食品有限公司,北冰洋（北京）饮料食品有限公司,碳酸饮料(汽水),本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110115-2022-1-001109,26/10/2023 10:00:00
北京北冰洋冷冻食品有限公司,北京北冰洋冷冻食品有限公司,冷冻饮品,完全合格,110115-2022-1-001112,26/10/2023 10:00:00
北京康百世科技发展有限公司,北京康百世科技发展有限公司,"其他方便食品,其他特殊膳食食品",完全合格,110115-2023-1-000050,26/10/2023 10:00:00
蜀海（北京）食品有限公司,蜀海（北京）食品有限公司,"调味料,冷冻水产制品,其他食品,其他水产品,热加工熟肉制品,速冻调制食品,鱼糜及鱼糜制品,预制调理肉制品",完全合格,110115-2023-1-000064,26/10/2023 10:00:00
北京澜溪轩茶文化交流有限公司,北京澜溪轩茶文化交流有限公司,茶叶,完全合格,110115-2023-1-000070,26/10/2023 10:00:00
北京隆兴号方庄酒厂有限公司分公司,北京隆兴号方庄酒厂有限公司分公司,其他酒,完全合格,110115-2023-1-000110,26/10/2023 10:00:00
北京市美丹食品有限公司,北京市美丹食品有限公司,"饼干,冷加工糕点,膨化食品,其他方便食品,热加工糕点",完全合格,110115-2023-1-000116,26/10/2023 10:00:00
北京京酿调味品有限公司,北京京酿调味品有限公司,"调味料,果蔬汁类及其饮料,酱油,食醋",完全合格,110115-2023-1-000136,26/10/2023 10:00:00
北冰洋（北京）饮料食品有限公司,北冰洋（北京）饮料食品有限公司,碳酸饮料(汽水),完全合格,110115-2023-1-000143,26/10/2023 10:00:00
北京大东老曹食品有限公司,北京大东老曹食品有限公司,热加工熟肉制品,完全合格,110115-2023-1-000161,26/10/2023 10:00:00
北京可佳食品配料有限公司,北京可佳食品配料有限公司,"调味料,水果制品",完全合格,110115-2023-1-000185,26/10/2023 10:00:00
沁海（北京）食品有限公司,沁海（北京）食品有限公司,"调味料,速冻调制食品,速冻面米食品",完全合格,110115-2023-1-000206,26/10/2023 10:00:00
北京展览馆集团有限公司莫斯科食品厂,北京展览馆集团有限公司莫斯科食品厂,糕点,完全合格,110115-2023-1-001096,26/10/2023 10:00:00
北京可佳食品配料有限公司,北京可佳食品配料有限公司,"调味料,水果制品",完全合格,110115-2023-1-001102,26/10/2023 10:00:00
北京大东老曹食品有限公司,北京大东老曹食品有限公司,"蛋制品,热加工熟肉制品",完全合格,110115-2023-1-001241,26/10/2023 10:00:00
北京天周食品工业有限公司,北京天周食品工业有限公司,"包装饮用水,茶(类)饮料,果蔬汁类及其饮料,其他饮料,碳酸饮料(汽水)",完全合格,110114-2023-1-001786,26/10/2023 10:00:00
北京安德鲁水果食品有限公司,北京安德鲁水果食品有限公司,"调味料,蜂蜜,果冻,果蔬罐头,其他特殊膳食食品,水果制品,速冻其他食品",完全合格,110114-2023-1-002101,3/11/2023 22:00:30
北京水优美食品有限公司,北京水优美食品有限公司,瓶(桶)装饮用水,完全合格,110114-2023-1-002337,14/11/2023 22:00:38
北京稻香村食品有限责任公司食品厂,北京稻香村食品有限责任公司食品厂,"蛋制品,酱腌菜,冷加工糕点,其他方便食品,其他粮食加工品,其他食品,热加工糕点,热加工熟肉制品,食品馅料,熟制水产品,速冻调制食品,速冻面米食品,畜禽水产罐头,预制调理肉制品",完全合格,110114-2023-1-002735,24/11/2023 22:00:59
北京斯利安药业有限公司大兴分公司,北京斯利安药业有限公司大兴分公司,固体饮料,完全合格,110115-2022-1-000611,26/10/2023 10:00:00
北京祥益斋科技发展有限公司,北京祥益斋科技发展有限公司,"冷加工糕点,蜜饯,其他方便食品,其他粮食加工品,热加工糕点",完全合格,110115-2022-1-000760,26/10/2023 10:00:00
北京祥益斋科技发展有限公司,北京祥益斋科技发展有限公司,"冷加工糕点,蜜饯,其他方便食品,其他粮食加工品,热加工糕点",完全合格,110115-2022-1-000762,26/10/2023 10:00:00
北京康百世科技发展有限公司,北京康百世科技发展有限公司,其他方便食品,完全合格,110115-2022-1-000962,26/10/2023 10:00:00
中粮丰通（北京）食品有限公司,中粮丰通（北京）食品有限公司,"饼干,冷加工糕点,其它食品,热加工糕点,速冻面米食品",完全合格,110115-2022-1-000963,26/10/2023 10:00:00
北京百嘉宜食品有限公司,北京百嘉宜食品有限公司,"冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2022-1-000964,31/7/2025 13:56:29
北京斯利安药业有限公司大兴分公司,北京斯利安药业有限公司大兴分公司,固体饮料,完全合格,110115-2022-1-001018,26/10/2023 10:00:00
北京盈聚工贸有限公司,北京盈聚工贸有限公司,"速冻调制食品,畜禽水产罐头",完全合格,110115-2022-1-001114,26/10/2023 10:00:00
北京隆兴号方庄酒厂有限公司,北京隆兴号方庄酒厂有限公司,白酒,完全合格,110115-2023-1-000060,26/10/2023 10:00:00
北京京铁列车服务有限公司,北京京铁列车服务有限公司,"饼干,其他罐头,其他食品,热加工糕点,热加工熟肉制品",完全合格,110115-2023-1-000069,26/10/2023 10:00:00
北京一手店食品有限公司,北京一手店食品有限公司,"炒货食品及坚果制品,蛋制品,即食水产品,酱腌菜,冷加工糕点,其他食品,其他蔬菜制品,热加工糕点,热加工熟肉制品,食用菌制品,速冻面米食品",完全合格,110115-2023-1-000080,26/10/2023 10:00:00
沁海（北京）食品有限公司,沁海（北京）食品有限公司,"调味料,速冻调制食品,速冻面米食品",完全合格,110115-2023-1-000106,26/10/2023 10:00:00
百事食品（中国）有限公司北京桂格分厂,百事食品（中国）有限公司北京桂格分厂,膨化食品,完全合格,110115-2023-1-000118,26/10/2023 10:00:00
北京教益斋清真食品有限责任公司,北京教益斋清真食品有限责任公司,"非即食水产品,热加工熟肉制品",完全合格,110115-2023-1-001067,26/10/2023 10:00:00
北京康普斯食品配料有限公司,北京康普斯食品配料有限公司,复配食品添加剂,完全合格,110115-2023-1-001082,26/10/2023 10:00:00
北京京都诚大食品有限公司,北京京都诚大食品有限公司,"冷冻水产制品,速冻调制食品,预制调理肉制品",完全合格,110115-2023-1-001085,26/10/2023 10:00:00
百事食品（中国）有限公司北京分厂,百事食品（中国）有限公司北京分厂,"膨化食品,膨化食品,其他粮食加工品,薯类食品",完全合格,110115-2023-1-001105,26/10/2023 10:00:00
北京套娃小镇餐饮管理中心,北京套娃小镇餐饮管理中心,"饼干,冷加工糕点,热加工糕点,热加工熟肉制品",完全合格,110115-2023-1-001109,26/10/2023 10:00:00
温育银芽（北京）蔬菜加工有限责任公司,温育银芽（北京）蔬菜加工有限责任公司,其他食品,完全合格,110115-2023-1-001112,26/10/2023 10:00:00
北京东兴堂蜂产品有限公司,北京东兴堂蜂产品有限公司,"焙炒咖啡,代用茶,调味茶,食品添加剂",完全合格,110115-2023-1-001293,26/10/2023 10:00:00
北京同仁堂参茸中药制品有限公司,北京同仁堂参茸中药制品有限公司,"代用茶,调味料,即食水产品,其他方便食品,其他罐头,水产加工品,糖果,畜禽水产罐头",完全合格,110115-2023-1-001848,26/10/2023 10:00:00
北京东兴堂蜂产品有限公司,北京东兴堂蜂产品有限公司,"焙炒咖啡,代用茶,调味茶,食品添加剂",完全合格,110115-2023-1-001860,26/10/2023 10:00:00
北京味多美食品科技有限责任公司,北京味多美食品科技有限责任公司,"饼干,冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2023-1-001891,26/10/2023 22:00:29
北京西餐食品有限公司,北京西餐食品有限公司,"调味料,发酵肉制品,非即食水产品,即食水产品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110116-2022-1-000001,26/10/2023 10:00:00
北京鑫正源农业发展有限公司,北京鑫正源农业发展有限公司,其它食品,完全合格,110116-2022-1-000055,26/10/2023 10:00:00
北京东方红航天生物制品有限公司,北京东方红航天生物制品有限公司,"蛋白饮料,果蔬汁类及其饮料",完全合格,110116-2022-1-000396,26/10/2023 10:00:00
北京罗麦科技有限公司,北京罗麦科技有限公司,"固体饮料,片剂,片剂,片剂,软胶囊剂,软胶囊剂,软胶囊剂,软胶囊剂,软胶囊剂,软胶囊剂,软胶囊剂,软胶囊剂,糖果,硬胶囊剂,硬胶囊剂,硬胶囊剂",完全合格,110116-2022-1-000680,26/10/2023 10:00:00
北京美滋乐源食品有限公司,北京美滋乐源食品有限公司,固体饮料,完全合格,110117-2022-1-000558,26/10/2023 10:00:00
北京圃美多绿色食品有限公司,北京圃美多绿色食品有限公司,"调味料,豆制品,其他方便食品,其他粮食加工品,速冻调制食品,速冻面米食品","本次检查发现不符合项（2）项，其中：重点项（0）项，项目序号分别是（）；一般项（2）项，项目序号分别是（2.1,5.3）。",110117-2022-1-000599,26/10/2023 10:00:00
北京大众康乐食品有限公司,北京大众康乐食品有限公司,"饼干,代可可脂巧克力及代可可脂巧克力制品,冷加工糕点,热加工糕点,糖果",完全合格,110117-2022-1-000653,26/10/2023 10:00:00
紫兴园（北京）食品科技有限公司,紫兴园（北京）食品科技有限公司,"热加工糕点,热加工熟肉制品,速冻面米食品",完全合格,110117-2022-1-001175,26/10/2023 10:00:00
紫兴园（北京）食品科技有限公司,紫兴园（北京）食品科技有限公司,"热加工糕点,热加工熟肉制品,速冻面米食品",本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.11）。,110117-2023-1-000028,26/10/2023 10:00:00
